#Race,Who,P1,Doohan,Bortoleto,Hülkenberg,Albon,Sainz,Hadjar,Lawson,Bearman,Ocon,Colapinto,Gasly,Stroll,Alonso,Antonelli,Russell,Tsunoda,Verstappen,Hamilton,Leclerc,Piastri,Norris
USA,Audience,,,4,8,6,7,4,6,7,4,5,5,4,7,6,7,7,10,8,9,5,8
Mexico,Matt,Norris,,8,5,5,4,6,5,10,8,5,5,4,5,7,7,7,8,7,9,6,10
Mexico,Tommy,Norris,,8,6,5,4,6,5,10,7,5,5,4,5,8,7,6,9,7,9,6,10
Mexico,Audience,,,7,5,5,5,5,5,10,8,5,5,4,5,7,6,5,9,7,9,6,10
Brazil,Matt,,,,,,,,,,,,,,,,,,,,,,
Brazil,Tommy,,,,,,,,,,,,,,,,,,,,,,
Brazil,Audience,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,Matt,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,Tommy,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,Audience,,,,,,,,,,,,,,,,,,,,,,
Qatar,Matt,,,,,,,,,,,,,,,,,,,,,,
Qatar,Tommy,,,,,,,,,,,,,,,,,,,,,,
Qatar,Audience,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi,Matt,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi,Tommy,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi,Audience,,,,,,,,,,,,,,,,,,,,,,
