#driver,excluded_races
Verstappen,Netherlands
Norris,UK
Bortoleto,Brazil
Hadjar,Italy
Doohan,Australia
Gasly,UK
Antonelli,Italy
Alonso,Spain
Leclerc,Monaco
Stroll,Canada
Tsunoda,Japan
Albon,UK
Hülkenberg,Belgium
Lawson,Italy
Ocon,USA
Colapinto,Brazil
Hamilton,UK
Sainz,Spain
Russell,UK
Piastri,Australia
Bearman,UK
